year,month,type,kw
2016,1,가로등,7842078
2016,1,교육용,27092538
2016,1,농사용,9785066
2016,1,산업용,261196271
2016,1,심 야,18357075
2016,1,일반용,255851378
2016,1,주택용,173309722
2016,2,가로등,7435531
2016,2,교육용,26412246
2016,2,농사용,11083161
2016,2,산업용,249686944
2016,2,심 야,20082747
2016,2,일반용,264737669
2016,2,주택용,177504527
2016,3,가로등,6731757
2016,3,교육용,25623599
2016,3,농사용,8365775
2016,3,산업용,265611126
2016,3,심 야,16648295
2016,3,일반용,231586942
2016,3,주택용,159455416
2016,4,가로등,6503431
2016,4,교육용,22651558
2016,4,농사용,6004044
2016,4,산업용,254699750
2016,4,심 야,12255258
2016,4,일반용,213115734
2016,4,주택용,159848304
2016,5,가로등,5843072
2016,5,교육용,18205039
2016,5,농사용,3878943
2016,5,산업용,250569999
2016,5,심 야,6697818
2016,5,일반용,196782992
2016,5,주택용,149005155
2016,6,가로등,5518404
2016,6,교육용,21039641
2016,6,농사용,4418441
2016,6,산업용,268629134
2016,6,심 야,5076262
2016,6,일반용,219998354
2016,6,주택용,150783152
2016,7,가로등,5357894
2016,7,교육용,25922146
2016,7,농사용,4480687
2016,7,산업용,283162090
2016,7,심 야,5245948
2016,7,일반용,247432080
2016,7,주택용,160253781
2016,8,가로등,5727174
2016,8,교육용,25716429
2016,8,농사용,6337387
2016,8,산업용,269911993
2016,8,심 야,5357215
2016,8,일반용,293957526
2016,8,주택용,206705618
2016,9,가로등,6227554
2016,9,교육용,25475045
2016,9,농사용,5454884
2016,9,산업용,257262845
2016,9,심 야,4209095
2016,9,일반용,262442352
2016,9,주택용,181317487
2016,10,가로등,6727443
2016,10,교육용,20090511
2016,10,농사용,3975739
2016,10,산업용,255668381
2016,10,심 야,4112314
2016,10,일반용,210523165
2016,10,주택용,149426502
2016,11,가로등,7402672
2016,11,교육용,21753618
2016,11,농사용,7471416
2016,11,산업용,269083814
2016,11,심 야,8577543
2016,11,일반용,207452823
2016,11,주택용,157951649
2016,12,가로등,7782200
2016,12,교육용,28444745
2016,12,농사용,7934865
2016,12,산업용,275812572
2016,12,심 야,14613075
2016,12,일반용,236135112
2016,12,주택용,163547359
2017,1,가로등,7830536
2017,1,교육용,27781040
2017,1,농사용,9767275
2017,1,산업용,266767270
2017,1,심 야,17150265
2017,1,일반용,261557952
2017,1,주택용,174231267
2017,2,가로등,7275341
2017,2,교육용,26204476
2017,2,농사용,10507779
2017,2,산업용,265948639
2017,2,심 야,18385263
2017,2,일반용,268084862
2017,2,주택용,176987870
2017,3,가로등,6434811
2017,3,교육용,26085491
2017,3,농사용,8500401
2017,3,산업용,275255944
2017,3,심 야,15159803
2017,3,일반용,232583933
2017,3,주택용,153891078
2017,4,가로등,6282781
2017,4,교육용,24276601
2017,4,농사용,6039096
2017,4,산업용,265088130
2017,4,심 야,12276147
2017,4,일반용,222057554
2017,4,주택용,162699189
2017,5,가로등,5669270
2017,5,교육용,18180580
2017,5,농사용,4250584
2017,5,산업용,251168619
2017,5,심 야,6142507
2017,5,일반용,200422592
2017,5,주택용,148864507
2017,6,가로등,5431891
2017,6,교육용,20933394
2017,6,농사용,4809452
2017,6,산업용,271419451
2017,6,심 야,4569264
2017,6,일반용,220022217
2017,6,주택용,150202402
2017,7,가로등,5259680
2017,7,교육용,27170858
2017,7,농사용,4641490
2017,7,산업용,292212033
2017,7,심 야,4764526
2017,7,일반용,260099960
2017,7,주택용,167839126
2017,8,가로등,5477777
2017,8,교육용,26411582
2017,8,농사용,6066700
2017,8,산업용,275234392
2017,8,심 야,4490186
2017,8,일반용,300264150
2017,8,주택용,215327250
2017,9,가로등,5934600
2017,9,교육용,25594067
2017,9,농사용,5014316
2017,9,산업용,284174505
2017,9,심 야,3682577
2017,9,일반용,259539383
2017,9,주택용,174425056
2017,10,가로등,6486155
2017,10,교육용,18967382
2017,10,농사용,3964947
2017,10,산업용,238063827
2017,10,심 야,3689158
2017,10,일반용,210680621
2017,10,주택용,149901283
2017,11,가로등,7083834
2017,11,교육용,21392289
2017,11,농사용,7706210
2017,11,산업용,266181441
2017,11,심 야,7389522
2017,11,일반용,212063918
2017,11,주택용,158237403
2017,12,가로등,7475527
2017,12,교육용,31644936
2017,12,농사용,8501808
2017,12,산업용,267357093
2017,12,심 야,14630927
2017,12,일반용,253594117
2017,12,주택용,167814388
2018,1,가로등,7696621
2018,1,교육용,31809815
2018,1,농사용,10224246
2018,1,산업용,274715904
2018,1,심 야,17357640
2018,1,일반용,284853192
2018,1,주택용,180878499
2018,2,가로등,7252179
2018,2,교육용,29491219
2018,2,농사용,11023343
2018,2,산업용,254968942
2018,2,심 야,18364931
2018,2,일반용,293761374
2018,2,주택용,183644381
2018,3,가로등,6489921
2018,3,교육용,24622278
2018,3,농사용,7647920
2018,3,산업용,256046322
2018,3,심 야,13885045
2018,3,일반용,231561306
2018,3,주택용,158407003
2018,4,가로등,6484632
2018,4,교육용,22414983
2018,4,농사용,5406611
2018,4,산업용,256840613
2018,4,심 야,9616774
2018,4,일반용,221526750
2018,4,주택용,163202573
2018,5,가로등,5862290
2018,5,교육용,19112020
2018,5,농사용,4037883
2018,5,산업용,252622696
2018,5,심 야,5742748
2018,5,일반용,208475853
2018,5,주택용,153091219
2018,6,가로등,5655235
2018,6,교육용,22062031
2018,6,농사용,4572042
2018,6,산업용,261786251
2018,6,심 야,4238926
2018,6,일반용,232451865
2018,6,주택용,157285747
2018,7,가로등,5513213
2018,7,교육용,27725633
2018,7,농사용,4926739
2018,7,산업용,269930043
2018,7,심 야,4394816
2018,7,일반용,265777737
2018,7,주택용,174995079
2018,8,가로등,5800634
2018,8,교육용,28550313
2018,8,농사용,7342098
2018,8,산업용,268852575
2018,8,심 야,4317612
2018,8,일반용,324846574
2018,8,주택용,254205023
2018,9,가로등,6179569
2018,9,교육용,26992013
2018,9,농사용,5599919
2018,9,산업용,250034893
2018,9,심 야,3404831
2018,9,일반용,274480833
2018,9,주택용,199211940
2018,10,가로등,6628412
2018,10,교육용,18965731
2018,10,농사용,4369472
2018,10,산업용,248817607
2018,10,심 야,3788742
2018,10,일반용,208328969
2018,10,주택용,153227733
2018,11,가로등,7254141
2018,11,교육용,21283390
2018,11,농사용,8386817
2018,11,산업용,254913035
2018,11,심 야,7632496
2018,11,일반용,211850050
2018,11,주택용,161280026
2018,12,가로등,7720526
2018,12,교육용,24577882
2018,12,농사용,8080307
2018,12,산업용,256814879
2018,12,심 야,12325985
2018,12,일반용,238869455
2018,12,주택용,168421669
2019,1,가로등,7991714
2019,1,교육용,35873610
2019,1,농사용,10632852
2019,1,산업용,271217394
2019,1,심 야,15652355
2019,1,일반용,277591421
2019,1,주택용,182513948
2019,2,가로등,7714835
2019,2,교육용,24306352
2019,2,농사용,10288703
2019,2,산업용,236874435
2019,2,심 야,15249473
2019,2,일반용,265942866
2019,2,주택용,181421875
2019,3,가로등,6928204
2019,3,교육용,24299815
2019,3,농사용,7853805
2019,3,산업용,245845446
2019,3,심 야,11962952
2019,3,일반용,226581832
2019,3,주택용,159136416
2019,4,가로등,6719212
2019,4,교육용,25029706
2019,4,농사용,6208722
2019,4,산업용,266119683
2019,4,심 야,10173311
2019,4,일반용,224516979
2019,4,주택용,168139098
2019,5,가로등,6153896
2019,5,교육용,20028261
2019,5,농사용,4442076
2019,5,산업용,251804704
2019,5,심 야,5653578
2019,5,일반용,208020235
2019,5,주택용,156999170
2019,6,가로등,5935383
2019,6,교육용,21468209
2019,6,농사용,4658820
2019,6,산업용,252920286
2019,6,심 야,3872535
2019,6,일반용,226873737
2019,6,주택용,158253672
2019,7,가로등,5689598
2019,7,교육용,25451254
2019,7,농사용,4488877
2019,7,산업용,271461864
2019,7,심 야,3946356
2019,7,일반용,250110743
2019,7,주택용,165432286
2019,8,가로등,6086778
2019,8,교육용,25198488
2019,8,농사용,6326537
2019,8,산업용,256314345
2019,8,심 야,3963904
2019,8,일반용,301213200
2019,8,주택용,222892146
2019,9,가로등,6548927
2019,9,교육용,25718870
2019,9,농사용,5923533
2019,9,산업용,241631886
2019,9,심 야,3386982
2019,9,일반용,272537265
2019,9,주택용,200894908
2019,10,가로등,7182399
2019,10,교육용,21440543
2019,10,농사용,4511489
2019,10,산업용,239952438
2019,10,심 야,3243904
2019,10,일반용,224826922
2019,10,주택용,162664358
2019,11,가로등,7731725
2019,11,교육용,20822597
2019,11,농사용,7648524
2019,11,산업용,244295015
2019,11,심 야,5983556
2019,11,일반용,213590249
2019,11,주택용,163061661
2019,12,가로등,7958411
2019,12,교육용,29220995
2019,12,농사용,7990336
2019,12,산업용,242151523
2019,12,심 야,11107026
2019,12,일반용,242270293
2019,12,주택용,170552710
2020,1,가로등,8102224
2020,1,교육용,29304976
2020,1,농사용,10033014
2020,1,산업용,242265471
2020,1,심 야,13428036
2020,1,일반용,269323437
2020,1,주택용,184074539
2020,2,가로등,7797033
2020,2,교육용,23584697
2020,2,농사용,9553616
2020,2,산업용,239037470
2020,2,심 야,13079678
2020,2,일반용,261335111
2020,2,주택용,185680622
2020,3,가로등,7079530
2020,3,교육용,20031777
2020,3,농사용,7836973
2020,3,산업용,246813617
2020,3,심 야,10854143
2020,3,일반용,230680592
2020,3,주택용,173589485
2020,4,가로등,6910901
2020,4,교육용,17397156
2020,4,농사용,5951229
2020,4,산업용,226996926
2020,4,심 야,8690732
2020,4,일반용,217818632
2020,4,주택용,176893466
2020,5,가로등,6328917
2020,5,교육용,15687460
2020,5,농사용,4579807
2020,5,산업용,204748067
2020,5,심 야,5604756
2020,5,일반용,207667797
2020,5,주택용,166248643
2020,6,가로등,5972051
2020,6,교육용,19447174
2020,6,농사용,4880374
2020,6,산업용,245159008
2020,6,심 야,4021041
2020,6,일반용,234770721
2020,6,주택용,171055535
2020,7,가로등,5692265
2020,7,교육용,22455371
2020,7,농사용,4853327
2020,7,산업용,263166141
2020,7,심 야,3499046
2020,7,일반용,246878075
2020,7,주택용,177193314
2020,8,가로등,5940260
2020,8,교육용,22668265
2020,8,농사용,6194104
2020,8,산업용,255513960
2020,8,심 야,3919064
2020,8,일반용,274785535
2020,8,주택용,216908363
2020,9,가로등,6233652
2020,9,교육용,22205204
2020,9,농사용,5892939
2020,9,산업용,266309128
2020,9,심 야,2961647
2020,9,일반용,268974612
2020,9,주택용,237788484
2020,10,가로등,6858468
2020,10,교육용,16781152
2020,10,농사용,4408816
2020,10,산업용,240763448
2020,10,심 야,3034695
2020,10,일반용,206116800
2020,10,주택용,166745176
2020,11,가로등,7405281
2020,11,교육용,20331859
2020,11,농사용,7426829
2020,11,산업용,255889219
2020,11,심 야,6234958
2020,11,일반용,212919512
2020,11,주택용,171227429
2020,12,가로등,7539488
2020,12,교육용,27418215
2020,12,농사용,7972719
2020,12,산업용,262092813
2020,12,심 야,10086869
2020,12,일반용,239209453
2020,12,주택용,180295867
2021,1,가로등,7885102
2021,1,교육용,32355494
2021,1,농사용,11148705
2021,1,산업용,267717054
2021,1,심 야,13368315
2021,1,일반용,278464922
2021,1,주택용,200924825
2021,2,가로등,7322476
2021,2,교육용,24793275
2021,2,농사용,9634653
2021,2,산업용,254822173
2021,2,심 야,12813406
2021,2,일반용,262898297
2021,2,주택용,194943127
2021,3,가로등,6617821
2021,3,교육용,23293857
2021,3,농사용,7260157
2021,3,산업용,257753536
2021,3,심 야,9848039
2021,3,일반용,224108275
2021,3,주택용,168879092
2021,4,가로등,6610963
2021,4,교육용,21737718
2021,4,농사용,5523430
2021,4,산업용,261583240
2021,4,심 야,7301404
2021,4,일반용,218711488
2021,4,주택용,174583982
2021,5,가로등,6058362
2021,5,교육용,18411616
2021,5,농사용,4738437
2021,5,산업용,252521324
2021,5,심 야,4221302
2021,5,일반용,208632377
2021,5,주택용,165167087
2021,6,가로등,5699794
2021,6,교육용,21371394
2021,6,농사용,4904372
2021,6,산업용,271679455
2021,6,심 야,3709156
2021,6,일반용,234029873
2021,6,주택용,172340558
2021,7,가로등,5533969
2021,7,교육용,26593717
2021,7,농사용,5451554
2021,7,산업용,283956048
2021,7,심 야,3618761
2021,7,일반용,271010453
2021,7,주택용,194781115
2021,8,가로등,5952283
2021,8,교육용,24239568
2021,8,농사용,7654088
2021,8,산업용,268027985
2021,8,심 야,3461140
2021,8,일반용,308673441
2021,8,주택용,258512577
2021,9,가로등,6165556
2021,9,교육용,25204460
2021,9,농사용,6404678
2021,9,산업용,260904562
2021,9,심 야,3068882
2021,9,일반용,270062761
2021,9,주택용,209947202
2021,10,가로등,6682524
2021,10,교육용,22002688
2021,10,농사용,5137866
2021,10,산업용,256744228
2021,10,심 야,2881856
2021,10,일반용,236352904
2021,10,주택용,175801672
2021,11,가로등,7267973
2021,11,교육용,22376986
2021,11,농사용,8451779
2021,11,산업용,267176503
2021,11,심 야,5844383
2021,11,일반용,224021536
2021,11,주택용,175674460
2021,12,가로등,7534150
2021,12,교육용,29869281
2021,12,농사용,8271911
2021,12,산업용,277038051
2021,12,심 야,9572455
2021,12,일반용,248035067
2021,12,주택용,181093517
2022,1,가로등,7771133
2022,1,교육용,32871796
2022,1,농사용,11105339
2022,1,산업용,278238937
2022,1,심 야,12130177
2022,1,일반용,286008367
2022,1,주택용,197757097
2022,2,가로등,7319103
2022,2,교육용,25763164
2022,2,농사용,10709646
2022,2,산업용,256353424
2022,2,심 야,12088672
2022,2,일반용,278313685
2022,2,주택용,197988897
2022,3,가로등,6521294
2022,3,교육용,26035634
2022,3,농사용,8442260
2022,3,산업용,265680982
2022,3,심 야,10006571
2022,3,일반용,242965636
2022,3,주택용,175748818
2022,4,가로등,6364429
2022,4,교육용,23872627
2022,4,농사용,6546880
2022,4,산업용,259754611
2022,4,심 야,7299356
2022,4,일반용,229101147
2022,4,주택용,179952957
2022,5,가로등,5843596
2022,5,교육용,18362910
2022,5,농사용,5063938
2022,5,산업용,257891848
2022,5,심 야,3973481
2022,5,일반용,217010132
2022,5,주택용,164273574
2022,6,가로등,5591780
2022,6,교육용,23293874
2022,6,농사용,5868466
2022,6,산업용,263086823
2022,6,심 야,3392893
2022,6,일반용,245130527
2022,6,주택용,171200654
2022,7,가로등,5393415
2022,7,교육용,29711525
2022,7,농사용,6442917
2022,7,산업용,282528446
2022,7,심 야,3524894
2022,7,일반용,295199044
2022,7,주택용,215998337
2022,8,가로등,5711285
2022,8,교육용,25994225
2022,8,농사용,8112063
2022,8,산업용,274886008
2022,8,심 야,3432259
2022,8,일반용,317419045
2022,8,주택용,256459950
2022,9,가로등,6117580
2022,9,교육용,26128585
2022,9,농사용,7652187
2022,9,산업용,257990750
2022,9,심 야,2880597
2022,9,일반용,284745728
2022,9,주택용,221372316
2022,10,가로등,6558372
2022,10,교육용,22138785
2022,10,농사용,6370510
2022,10,산업용,244040896
2022,10,심 야,2663683
2022,10,일반용,234836871
2022,10,주택용,174970366
2022,11,가로등,7080851
2022,11,교육용,21471834
2022,11,농사용,9822715
2022,11,산업용,254434089
2022,11,심 야,5035510
2022,11,일반용,220521174
2022,11,주택용,172158352
2022,12,가로등,7316937
2022,12,교육용,31159967
2022,12,농사용,8624110
2022,12,산업용,256259483
2022,12,심 야,8466299
2022,12,일반용,251968761
2022,12,주택용,180572866
